Timestamp,Name,Age,Gender,How often do you use the Orange Line Train?, What is your primary reason for using the Orange Line Train?,How punctual is the train service in your experience?,How do you rate the efficiency of the queue management system at ticket counters?,"How clean are the train stations, including the platforms and waiting areas?",How do you rate the cleanliness and maintenance of rest-rooms for passenger use? ,How often are the train stations and carriages cleaned and maintained?,How comfortable are the seats in the train carriages for extended journeys?,"Are the train stations and carriages accessible for people with disabilities (e.g., ramps, elevators)?","Is the temperature inside the train carriages comfortable, with appropriate cooling or heating systems?",Do you feel safe while traveling on the Orange Line Metro Train?,Have you ever witnessed or experienced any unsafe situations on the Orange Line Metro Train?,"Are there sufficient security measures, such as guards, CCTV cameras, and emergency response systems, in place?",How helpful and attentive are the staff members in assisting passengers with their needs?,Are real-time updates about train schedules and delays provided effectively?,Are there sufficient banners and information posters/screens inside station's premises?,Are the ticket prices reasonable and affordable for the majority of passengers?,Are there any special discounts or deals available for frequent riders or certain passenger groups?,How satisfied are you with the overall service quality of the Orange Line Metro Train?,How likely are you to recommend the Orange Line Metro Train to others?
2025/01/03 9:52:56 PM GMT+5,Gulam Muhammad Bashu,<20,Male,Everday,Work,3,2,3,2,1,3,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,1,1
2025/01/03 9:55:44 PM GMT+5,Fakhir,<20,Male,Everday,Work,3,3,1,1,2,1,Yes,Yes,Yes,5,No,1,Yes,Yes,Yes,No,1,1
2025/01/03 10:07:31 PM GMT+5,Mehwish Ahmad ,<20,Female,Everday,Study,1,1,1,2,1,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
2025/01/03 10:15:07 PM GMT+5,Farees Hassan,<20,Male,Everday,Study,1,1,1,1,2,2,Yes,Yes,Yes,3,Yes,2,Yes,Yes,Yes,No,1,1
2025/01/03 10:17:32 PM GMT+5,Moeez Ahmad ,21-30,Male,Everday,Study,2,2,2,2,2,1,Yes,Yes,Yes,5,Yes,2,Yes,No,Yes,No,1,1
2025/01/03 10:20:05 PM GMT+5,Amjad Ali,50+,Male,Once or twice a week,Work,1,3,2,3,2,3,No,Yes,Yes,5,Yes,3,No,Yes,Yes,No,2,1
2025/01/03 10:21:43 PM GMT+5,Sajid,31-40,Male,Everday,Work,1,3,1,1,1,1,Yes,Yes,Yes,4,Yes,1,Yes,Yes,Yes,No,1,1
2025/01/03 10:23:00 PM GMT+5,Muhammad Ashraf,50+,Male,Everday,Work,1,1,1,1,1,1,Yes,Yes,Yes,5,Yes,1,Don't know,Yes,Yes,Yes,1,1
2025/01/03 10:25:21 PM GMT+5,Rehan,41-50,Male,Everday,Work,1,2,1,2,1,1,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,1,1
2025/01/04 2:31:23 AM GMT+5,Ahsan,21-30,Male,Everday,Study,1,2,1,3,1,3,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
2025/01/04 2:34:12 AM GMT+5,M Akmal Farooq,<20,Male,Everday,Study,1,1,1,1,3,1,Don't know,Yes,Yes,5,Yes,2,No,Don't know,Yes,Don't know,1,1
2025/01/04 2:37:34 AM GMT+5,Asad Ali,21-30,Male,Once or twice a month,Study,1,1,1,1,1,5,Don't know,Yes,Yes,2,No,1,Yes,Yes,Yes,No,2,1
2025/01/04 2:39:18 AM GMT+5,Asad,21-30,Male,Once or twice a month,Study,1,1,1,1,1,5,Don't know,Yes,Yes,2,No,1,Yes,Yes,Yes,Don't know,2,1
2025/01/04 2:40:45 AM GMT+5,Abid Ali,21-30,Male,Once or twice a year,Work,1,1,1,1,1,2,Don't know,Yes,Yes,3,Yes,3,Yes,Yes,Yes,No,2,1
2025/01/04 2:43:12 AM GMT+5,Mustafa,21-30,Male,Everday,Work,1,1,1,3,2,1,Don't know,Yes,Yes,5,Yes,1,Don't know,Yes,Yes,Don't know,1,2
2025/01/04 2:45:15 AM GMT+5,Ch Ghulam Dastagir,50+,Male,Everday,Work,1,2,2,3,2,2,Yes,Yes,Yes,4,Yes,1,No,Yes,Yes,No,1,1
2025/01/04 2:47:24 AM GMT+5,Muhammad Raza Ali,<20,Male,Everday,Study,1,3,1,3,1,4,Yes,Yes,Yes,4,Yes,2,Yes,Yes,Yes,No,2,1
2025/01/04 2:49:08 AM GMT+5,Sharoon,<20,Male,Once or twice a month,Work,1,2,2,2,1,2,Don't know,Yes,Yes,4,Yes,1,No,Yes,Yes,No,1,1
2025/01/04 2:54:57 PM GMT+5,Hanan,<20,Female,Everday,Study,2,3,2,3,3,2,Yes,Yes,Yes,2,Yes,2,Yes,Yes,Yes,No,2,2
2025/01/04 3:25:53 PM GMT+5,Hawwa,41-50,Female,Once or twice a year,Leisure,1,2,2,3,2,2,Yes,Yes,Yes,4,Yes,2,Yes,Yes,Yes,No,2,1
2025/01/04 3:27:25 PM GMT+5,Abdullah,50+,Male,Once or twice a year,Leisure,2,2,2,4,1,2,Yes,Yes,Yes,4,Yes,3,Yes,Yes,Yes,No,2,2
2023-01-02 12:22:23,Norma Fisher,<20,Male,Everday,Study,3,2,1,3,2,6,Yes,Yes,Yes,5,Yes,3,Yes,Yes,Yes,Yes,2,2
2023-01-04 00:47:56,Jorge Sullivan,<20,Male,Once or twice a month,Work,4,0,1,1,2,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
2023-01-04 16:10:27,Elizabeth Woods,<20,Male,Everday,Leisure,2,0,1,2,1,3,Don't know,Yes,Yes,4,Yes,1,No,Don't know,Yes,Don't know,2,1
2023-01-05 01:44:54,Susan Wagner,<20,Female,Everday,Study,2,3,1,2,2,3,Yes,Don't know,Yes,0,Yes,6,Don't know,Don't know,Yes,No,1,2
2023-01-05 11:40:33,Peter Montgomery,<20,Male,Once or twice a month,Work,2,3,2,3,2,2,Don't know,No,Yes,2,Yes,2,No,No,Yes,Don't know,1,4
2023-01-05 15:04:12,Theodore Mcgrath,21-30,Male,Everday,Leisure,1,0,1,1,1,1,Yes,Yes,Yes,0,Yes,2,Yes,Yes,Yes,No,2,1
2023-01-06 04:13:47,Stephanie Collins,<20,Female,Once or twice a week,For going market ,4,3,1,3,2,2,Don't know,Yes,Yes,3,Maybe,3,Don't know,No,No,Yes,3,2
2023-01-06 08:20:34,Stephanie Sutton,21-30,Male,Once or twice a week,Leisure,4,2,1,1,2,1,No,Yes,Yes,5,Maybe,2,Yes,Yes,Yes,No,1,1
2023-01-06 12:19:20,Brian Hamilton,<20,Male,Everday,Work,1,1,1,1,1,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,2,1
2023-01-06 21:20:43,Susan Levy,21-30,Male,Everday,Study,1,2,1,3,1,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,0,1
2023-01-07 02:54:17,Sean Green,<20,Male,Once or twice a month,Study,1,2,3,1,1,2,Yes,Don't know,Yes,5,Maybe,1,No,Yes,Yes,No,1,2
2023-01-07 05:07:20,Kimberly Smith,<20,Male,Everday,Study,1,1,1,2,1,4,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
2023-01-08 14:11:21,Jennifer Summers,<20,Male,Once or twice a week,Leisure,2,2,2,3,2,6,Yes,Yes,Yes,4,No,3,Don't know,No,Don't know,Don't know,1,2
2023-01-08 17:12:33,April Snyder,<20,Female,Once or twice a month,Study,6,2,1,2,3,3,Yes,Don't know,Yes,5,Maybe,3,Yes,Don't know,Yes,No,1,1
2023-01-09 19:36:11,Dana Nguyen,<20,Male,Once or twice a week,Study,1,3,1,1,1,1,Yes,Yes,Yes,3,Yes,1,Yes,Yes,Yes,No,1,1
2023-01-10 03:23:38,Cheryl Bradley,<20,Male,Everday,Leisure,4,2,1,2,2,3,Yes,No,No,1,Maybe,3,Don't know,Don't know,No,Don't know,1,4
2023-01-10 07:27:56,Walter Pratt,<20,Male,Once or twice a year,Leisure,3,2,3,3,6,2,Don't know,No,Yes,1,Maybe,3,No,Don't know,Don't know,Don't know,2,3
2023-01-10 07:35:50,Bobby Flores,<20,Female,Once or twice a year,Leisure,1,2,2,1,2,6,Don't know,Don't know,Yes,4,Maybe,1,No,Don't know,Yes,Yes,2,1
2023-01-10 11:21:27,Tasha Rodriguez,<20,Male,Everday,Study,1,2,2,2,1,2,Yes,Yes,Yes,5,Maybe,2,Yes,Yes,Yes,No,1,1
2023-01-10 14:41:26,Michelle Kelley,<20,Female,Once or twice a month,Study,1,2,1,2,2,1,No,Yes,Yes,3,Yes,3,Don't know,Yes,Yes,Yes,1,4
2023-01-11 02:57:11,Kimberly Maynard,<20,Male,Once or twice a week,Study,1,3,1,1,1,1,Yes,Yes,Yes,4,Yes,1,Yes,Yes,Yes,No,1,1
2023-01-11 03:36:21,Laurie Wallace,<20,Male,Everday,Study,5,2,1,1,2,3,Don't know,Yes,Yes,3,Maybe,2,Don't know,Yes,Yes,Don't know,2,3
2023-01-11 17:06:01,Janice Johnston,<20,Male,Once or twice a month,Study,2,3,1,1,1,1,Yes,Yes,Yes,5,Yes,3,Yes,Yes,Yes,No,1,1
2023-01-11 18:15:07,Collin Lopez,<20,Male,Once or twice a week,Leisure,2,3,1,3,2,4,Yes,Yes,Yes,4,Yes,2,Don't know,No,Yes,No,2,2
2023-01-11 18:24:32,Mary Alvarez,<20,Female,Once or twice a year,Leisure,1,3,2,3,2,3,Don't know,No,Yes,4,Maybe,3,Don't know,No,Yes,Don't know,2,4
2023-01-12 00:08:31,Peter Mcdowell,21-30,Male,Everday,Study,1,2,1,4,1,3,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,2,2
2023-01-12 02:41:44,Sarah Villanueva,<20,Male,Everday,Study,1,1,1,2,1,1,Yes,Yes,Yes,3,Yes,1,Yes,Yes,Yes,No,1,1
2023-01-12 14:15:35,Kimberly Myers,41-50,Male,Once or twice a year,Leisure,1,2,2,2,2,3,Yes,Yes,Yes,5,Maybe,3,Don't know,Yes,No,Don't know,3,1
2023-01-12 14:41:50,Desiree Cain,<20,Female,Once or twice a year,Study,1,2,2,2,1,3,Yes,Yes,Yes,2,Maybe,3,Yes,Yes,Yes,Don't know,2,1
2023-01-13 02:34:11,Stephanie Lawrence,<20,Female,Once or twice a month,Leisure,2,2,2,1,3,2,No,No,Yes,2,Maybe,2,No,Don't know,No,No,2,2
2023-01-13 08:27:16,Lauren Hayes,<20,Male,Once or twice a month,Work,1,2,1,1,1,1,Yes,Yes,Yes,5,Yes,2,No,Yes,Yes,No,1,1
2023-01-14 00:07:29,Whitney Stark,<20,Male,Once or twice a year,Study,1,5,2,2,2,2,Yes,Yes,Yes,5,Yes,2,Don't know,No,Yes,No,2,1
2023-01-14 08:27:24,Angela Salazar,<20,Male,Once or twice a year,Leisure,4,2,1,3,2,4,Yes,No,Yes,5,Yes,3,Don't know,Don't know,No,Yes,2,1
2023-01-14 16:24:27,Mr. Ryan Sanchez,<20,Male,Once or twice a week,Work,1,2,4,1,2,3,Don't know,Yes,Yes,5,Maybe,2,Yes,Don't know,Yes,No,2,1
2023-01-15 07:40:34,Autumn Robinson,<20,Male,Everday,Work,1,4,1,1,2,4,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,Yes,1,1
2023-01-15 18:32:39,Faith Cabrera,41-50,Male,Once or twice a year,Work,3,2,2,2,2,4,Don't know,Yes,Yes,2,Maybe,2,Don't know,Don't know,Yes,No,2,2
2023-01-15 21:45:46,Charles Wolfe,<20,Male,Once or twice a week,Leisure,1,4,2,2,1,2,Yes,Yes,Yes,4,Yes,2,Don't know,Yes,Yes,No,2,1
2023-01-16 07:59:28,Kenneth Kent,<20,Male,Everday,Work,1,2,2,3,1,4,Yes,Yes,Yes,4,Yes,2,Yes,Yes,No,No,3,1
2023-01-16 18:29:36,Melanie Johnson,<20,Male,Once or twice a week,Study,1,1,1,1,1,2,Yes,Yes,Yes,4,Yes,3,Yes,Yes,Yes,No,1,1
2023-01-17 00:16:40,Lisa Johnston,<20,Male,Everday,Leisure,2,2,3,2,2,2,No,Yes,Yes,4,No,2,No,Yes,Yes,Don't know,2,1
2023-01-17 05:09:40,Jacob Hooper,<20,Male,Once or twice a week,Other chores,2,2,1,2,1,2,Yes,Yes,Yes,4,Yes,2,Yes,Yes,Yes,Yes,2,1
2023-01-17 08:23:50,Alex Woodward,41-50,Male,Once or twice a week,Going somewhere ,1,1,1,2,2,2,Yes,No,Yes,5,Yes,4,Yes,Yes,Yes,Don't know,3,3
2023-01-18 00:02:27,Caleb Clark,<20,Female,Everday,Work,1,2,1,3,1,2,Don't know,Yes,Yes,5,Maybe,3,Yes,Yes,Yes,No,2,1
2023-01-18 03:48:04,Taylor Johnson,21-30,Female,Everday,Study,1,0,1,1,3,4,Yes,Don't know,Yes,5,Yes,1,Yes,Yes,Yes,No,2,1
2023-01-18 04:54:30,Brian Green,<20,Female,Once or twice a week,Leisure,7,3,0,4,2,2,Don't know,No,Yes,5,Maybe,3,Don't know,Don't know,Yes,Don't know,2,1
2023-01-18 19:03:05,Matthew Bell,<20,Female,Once or twice a year,Work,6,2,2,3,2,6,Don't know,Don't know,Yes,4,Maybe,2,No,No,Yes,No,2,1
2023-01-19 08:05:10,Jonathan Williams,<20,Female,Everday,Study,6,4,4,3,2,4,Yes,Yes,Yes,1,Maybe,3,No,Yes,Don't know,Yes,2,1
2023-01-19 16:21:49,William Gonzalez,<20,Male,Once or twice a year,Leisure,4,2,2,3,2,4,Yes,Yes,No,1,Maybe,3,Don't know,Yes,No,No,3,3
2023-01-20 00:20:05,Nicholas Massey,<20,Male,Once or twice a month,Going somewhere ,1,4,1,4,2,4,Don't know,No,Yes,2,No,2,Don't know,No,Yes,No,2,1
2023-01-20 01:56:39,Caroline Chambers,41-50,Male,Everday,Study,1,2,2,1,3,2,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,1,1
2023-01-20 14:47:42,Amy Lowe,<20,Female,Once or twice a year,Leisure,3,3,2,4,2,4,Don't know,No,No,1,Maybe,3,Don't know,No,No,Don't know,2,1
2023-01-20 15:14:24,Gloria King,<20,Male,Everday,Study,1,1,1,1,1,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
2023-01-21 11:19:00,Jessica Thompson,<20,Male,Once or twice a week,Study,1,2,2,4,2,2,Don't know,No,No,5,Yes,3,Don't know,Yes,Yes,Yes,2,1
2023-01-22 19:10:46,Jason Carroll,<20,Male,Once or twice a year,Leisure,6,3,0,3,2,4,Don't know,No,Yes,4,Maybe,3,Yes,Don't know,Yes,Yes,2,1
2023-01-23 00:19:00,Emily Howard,<20,Female,Once or twice a year,Leisure,2,3,2,4,2,4,Don't know,Yes,No,4,Maybe,3,Yes,No,Don't know,Don't know,2,2
2023-01-23 05:28:09,Danielle Castro,<20,Male,Once or twice a month,Study,1,4,2,2,1,1,Yes,Yes,Yes,2,Yes,2,Don't know,Yes,Don't know,No,1,2
2023-01-23 18:59:12,Patrick Rogers,<20,Female,Once or twice a week,Study,1,2,2,2,2,2,Yes,No,Yes,5,No,3,Don't know,Don't know,Don't know,Don't know,2,1
2023-01-24 22:43:00,Douglas Allen,<20,Male,Once or twice a month,For going market ,1,2,1,3,2,2,Don't know,Yes,Yes,5,Maybe,2,Don't know,No,Yes,Yes,2,1
2023-01-24 23:21:02,Heather Roberts,<20,Male,Once or twice a year,Study,7,2,0,2,2,2,Yes,No,Yes,5,Maybe,3,Don't know,Yes,No,Don't know,2,4
2023-01-26 04:21:12,Travis Schultz,<20,Female,Once or twice a year,Other chores,4,2,1,2,2,4,Don't know,No,Yes,5,Maybe,3,Don't know,Don't know,Don't know,Don't know,2,3
2023-01-26 23:47:33,Michelle Hughes,<20,Male,Everday,Study,1,1,1,2,1,2,Yes,Yes,Yes,4,Yes,1,Yes,Yes,Yes,No,1,1
2023-01-27 11:39:16,Matthew Smith,21-30,Male,Everday,Study,2,0,1,2,1,3,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,Yes,1,1
2023-01-28 18:44:23,George Allen,<20,Female,Once or twice a week,Leisure,5,3,2,3,2,2,Don't know,No,Yes,5,Maybe,4,Don't know,No,Yes,Don't know,2,3
2023-01-29 02:10:24,Jamie Hutchinson,<20,Male,Once or twice a year,Leisure,1,2,1,2,1,4,Yes,Yes,Yes,5,Yes,3,Yes,Yes,Yes,No,2,1
2023-01-29 18:03:31,Jennifer Morales,<20,Male,Once or twice a week,Study,1,2,1,2,1,3,Yes,Yes,Yes,1,Yes,5,No,Yes,No,Yes,1,1
2023-01-29 19:05:19,Jennifer Bates,41-50,Male,Everday,Study,1,2,1,2,1,2,Yes,Yes,Yes,3,Yes,0,Yes,Yes,Yes,No,1,1
2023-01-29 20:11:20,Jeremy Green,<20,Male,Once or twice a week,Study,2,3,1,3,2,2,Don't know,Yes,Yes,5,Yes,1,Yes,Yes,Yes,Yes,2,1
2023-01-29 23:31:04,Joseph Freeman,<20,Female,Everday,Work,1,3,1,1,1,4,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
2023-01-30 01:03:37,Nicole Henson,<20,Male,Once or twice a year,Going somewhere ,4,2,2,3,4,5,Don't know,No,Yes,4,Maybe,3,Yes,No,Don't know,Don't know,2,2
2023-01-30 04:43:37,Eric Owens PhD,<20,Male,Once or twice a month,Study,1,2,2,3,2,2,Yes,Yes,Yes,5,Yes,2,No,Yes,Yes,Yes,1,5
2023-01-31 23:24:08,Robin Lopez,<20,Female,Everday,Study,1,1,1,1,1,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,Yes,1,1
2023-02-02 02:47:04,Miss Angela Swanson DVM,<20,Male,Everday,Study,1,3,1,2,1,2,Yes,Yes,Yes,5,No,4,Don't know,Yes,Yes,No,2,1
2023-02-02 08:55:23,Michael Stewart,<20,Male,Everday,Work,1,2,1,3,2,2,Yes,Yes,Yes,0,Yes,2,No,Yes,Yes,No,2,1
2023-02-02 19:00:07,Mitchell Smith,31-40,Female,Once or twice a week,Going somewhere ,1,1,2,2,1,4,Don't know,No,Yes,1,Yes,5,Yes,Don't know,No,No,2,1
2023-02-03 04:34:03,Kelsey Davis,<20,Female,Once or twice a year,Leisure,4,3,2,5,2,3,Don't know,No,Yes,0,Maybe,3,Don't know,Don't know,Don't know,Don't know,2,3
2023-02-03 08:23:54,Matthew Russo,<20,Female,Once or twice a week,Study,2,3,1,3,1,2,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,1,1
2023-02-06 01:04:40,William Garcia,<20,Male,Everday,Leisure,1,2,2,3,1,5,Yes,Yes,Yes,1,Maybe,3,Don't know,Yes,Yes,No,2,1
2023-02-08 00:12:02,Jennifer Miller,<20,Male,Once or twice a week,Study,2,3,2,1,2,1,No,Don't know,Yes,5,Yes,2,No,Yes,Yes,Yes,2,1
2023-02-08 01:07:52,Jesse Sparks,<20,Male,Everday,Study,1,3,1,2,1,4,No,Yes,Yes,5,Yes,1,Don't know,Yes,Yes,No,2,1
2023-02-09 03:18:09,Brandi Meyer,<20,Female,Everday,Study,1,2,1,3,1,1,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,1,1
2023-02-09 08:35:04,Hannah Wiggins,<20,Female,Once or twice a month,Leisure,3,3,2,2,2,2,Don't know,Don't know,Yes,2,Maybe,3,Yes,Don't know,Yes,Don't know,2,3
2023-02-09 09:29:35,Albert Williams,21-30,Male,Everday,Work,1,2,1,2,1,4,Yes,Yes,Yes,4,Yes,1,Yes,Yes,Yes,No,1,1
2023-02-10 08:27:57,Kristin Potts,31-40,Male,Once or twice a month,Leisure,2,3,1,3,1,2,Yes,Yes,Yes,2,Maybe,1,Yes,Yes,Yes,No,2,1
2023-02-10 09:22:00,Susan Williams,<20,Male,Once or twice a year,Leisure,7,3,1,3,2,6,Don't know,Don't know,Yes,4,Maybe,4,Don't know,Don't know,No,Don't know,2,3
2023-02-10 11:55:13,Meredith Rios,21-30,Male,Everday,Work,1,2,1,2,1,2,Yes,Yes,Yes,5,Yes,5,No,Yes,Don't know,No,2,1
2023-02-10 14:14:18,Stephanie Bowman,<20,Female,Once or twice a year,Leisure,3,4,2,3,2,6,No,Don't know,Yes,3,No,3,Don't know,Don't know,Yes,Don't know,2,3
2023-02-10 15:52:07,Joshua Clark,<20,Male,Once or twice a year,Leisure,2,5,1,4,2,2,Yes,No,Yes,4,Yes,2,Don't know,Yes,Yes,Don't know,2,2
2023-02-10 16:51:55,Alexa Hernandez,<20,Male,Once or twice a year,Work,1,3,1,2,2,2,No,Yes,Yes,5,Yes,3,No,Yes,Yes,Yes,2,1
2023-02-11 00:15:11,Richard Higgins,<20,Male,Once or twice a year,Leisure,4,2,1,5,1,4,Don't know,No,Yes,5,No,3,Don't know,No,Yes,Don't know,3,1
2023-02-11 10:55:41,Marc Williams,21-30,Male,Once or twice a month,Study,1,2,1,1,2,2,Yes,Yes,Yes,2,Yes,2,Yes,Yes,Yes,No,1,1
2023-02-11 18:48:05,William Roberts,<20,Male,Everday,Going somewhere ,1,2,2,1,2,4,Yes,Yes,Yes,5,Yes,2,Yes,No,Yes,No,3,2
2023-02-12 02:01:00,Joshua Carter,<20,Male,Once or twice a year,Study,1,4,1,3,2,3,No,Yes,Yes,1,No,3,Yes,Don't know,Yes,No,1,1
2023-02-12 03:35:25,David Williams,<20,Male,Everday,Study,1,1,1,2,1,2,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,1,1
2023-02-12 07:24:22,Joseph Jones,<20,Female,Once or twice a year,Study,2,2,1,2,1,6,No,Yes,Yes,3,No,2,No,Yes,Yes,No,2,2
2023-02-13 03:25:54,Gary Perry,<20,Male,Everday,Study,4,3,2,2,2,2,Don't know,Yes,Yes,5,No,2,Don't know,Don't know,Yes,No,1,1
2023-02-13 07:09:24,Terry Wells,<20,Female,Everday,Leisure,2,2,2,3,2,5,Don't know,Yes,Yes,5,Maybe,1,Yes,Yes,Yes,Don't know,2,1
2023-02-13 16:33:12,Vanessa Cooper,<20,Male,Everday,As Transport ,1,3,2,2,4,3,Don't know,No,Yes,4,No,3,Yes,Don't know,Don't know,No,2,2
2023-02-13 20:23:38,Michael Simmons,<20,Male,Once or twice a year,Work,3,3,2,3,2,4,Yes,Don't know,Yes,5,Yes,2,No,Yes,Yes,Yes,2,2
2023-02-14 00:29:43,Nicholas Kline,<20,Male,Everday,Work,6,2,1,2,3,1,Don't know,Yes,Yes,4,Yes,3,Don't know,No,Yes,Don't know,1,1
2023-02-14 00:48:31,Lori Bennett,<20,Male,Once or twice a year,Study,5,4,0,3,2,3,Don't know,No,No,4,No,3,No,No,Don't know,No,3,4
2023-02-14 07:25:37,Margaret Jones,21-30,Male,Everday,Study,2,5,1,2,1,3,Don't know,Yes,Yes,5,Yes,1,Yes,Yes,Yes,Yes,1,1
2023-02-14 20:14:11,Paul Brown,<20,Male,Once or twice a year,Leisure,2,1,1,3,1,5,No,Yes,Yes,3,Yes,3,Don't know,No,No,No,2,2
2023-02-15 00:43:52,James Stone,<20,Male,Once or twice a week,Leisure,2,4,1,6,2,7,Don't know,Yes,Yes,2,Yes,3,Yes,Yes,No,Don't know,2,2
2023-02-15 10:16:52,John Richards,21-30,Male,Once or twice a month,Study,1,2,1,1,1,1,Yes,Yes,Yes,5,Yes,1,No,Yes,Yes,Yes,1,1
2023-02-15 10:26:26,Jenny Richardson,<20,Male,Once or twice a year,Leisure,1,3,2,3,2,3,Yes,No,No,3,Maybe,5,No,Don't know,No,Don't know,2,1
2023-02-15 11:01:40,Debbie Waters MD,<20,Male,Everday,Study,1,1,1,1,3,2,Yes,Yes,Yes,1,Maybe,5,No,Yes,Don't know,No,1,1
2023-02-15 22:16:02,Austin Boyer,<20,Male,Once or twice a year,Study,4,3,2,3,3,2,Don't know,No,Yes,2,Maybe,2,No,Don't know,Yes,Don't know,3,2
2023-02-15 23:45:46,Stephanie Hayes,<20,Female,Everday,Leisure,5,2,2,3,6,2,Yes,Yes,Yes,2,Maybe,5,Yes,Yes,Yes,No,3,1
2023-02-17 06:36:49,Barbara Sanders,21-30,Male,Everday,Going somewhere ,1,3,1,2,1,3,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
2023-02-17 08:34:47,Andrew Gould,<20,Male,Once or twice a year,Work,6,3,1,3,2,4,Don't know,Yes,Yes,4,Yes,3,No,Yes,Yes,Yes,2,2
2023-02-17 12:28:44,Charles Gonzalez,<20,Male,Once or twice a week,Leisure,1,2,1,1,2,3,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,2,1
2023-02-18 07:00:37,Joshua Hernandez,<20,Female,Everday,Study,1,2,1,1,2,2,Yes,Yes,Yes,4,Yes,2,Yes,Yes,No,No,1,6
2023-02-18 08:20:07,Victoria Hernandez MD,<20,Male,Everday,Study,2,2,1,2,1,1,Yes,Yes,Yes,5,Yes,3,Yes,Yes,Yes,No,1,1
2023-02-18 12:06:50,Sherry Simpson,21-30,Female,Everday,Study,1,2,1,2,5,2,Yes,Yes,Yes,2,No,2,No,Yes,Yes,No,1,1
2023-02-19 01:40:04,Erica Jimenez,<20,Female,Once or twice a month,Study,2,3,1,2,1,1,Yes,No,Yes,4,Yes,2,Yes,Yes,Yes,No,2,5
2023-02-19 09:36:06,Mr. Dakota Lynch II,<20,Male,Once or twice a week,Study,5,1,1,2,2,2,No,Yes,Yes,2,Yes,3,Yes,Yes,Yes,No,1,1
2023-02-19 12:16:20,Victor Nolan,<20,Male,Once or twice a year,Leisure,2,3,2,2,1,2,No,Don't know,Yes,4,Yes,3,No,Yes,Yes,Yes,2,3
2023-02-19 19:42:43,Amanda Hernandez,<20,Male,Once or twice a year,Study,1,1,2,6,3,2,Don't know,Yes,No,5,No,2,Don't know,Yes,Yes,Don't know,2,1
2023-02-20 04:37:24,Richard Kirby,<20,Male,Once or twice a month,Other chores,4,2,2,1,2,2,Don't know,No,No,4,No,2,Don't know,Don't know,No,Don't know,2,2
2023-02-20 17:46:15,Michelle Roman,<20,Male,Once or twice a year,Leisure,5,3,0,5,2,4,Don't know,No,Yes,3,Maybe,4,Don't know,No,Don't know,Don't know,4,2
2023-02-21 03:36:52,Bradley Melton,<20,Male,Once or twice a month,Work,1,2,4,2,4,1,Yes,Yes,Yes,5,Yes,1,No,Yes,Yes,No,1,1
2023-02-21 12:58:37,Danny Williams,<20,Male,Once or twice a month,Leisure,3,3,3,3,2,1,Don't know,No,Yes,5,No,3,Don't know,Don't know,No,Don't know,1,2
2023-02-21 13:12:52,Ryan Rivera,<20,Male,Everday,Work,3,3,2,3,2,4,Yes,No,Yes,5,Yes,3,No,Yes,Yes,Don't know,2,1
2023-02-21 15:55:53,Charles Douglas,<20,Male,Once or twice a year,Work,5,3,2,3,2,4,Don't know,Don't know,No,5,Maybe,3,Don't know,Don't know,No,Don't know,3,2
2023-02-21 16:07:43,Kathy Santana,<20,Male,Once or twice a year,Leisure,5,1,2,3,3,2,No,Don't know,Yes,2,Maybe,3,Don't know,Don't know,Yes,Don't know,3,3
2023-02-21 19:56:49,Laura Gregory,<20,Female,Once or twice a week,Leisure,6,5,1,2,2,3,No,Yes,Yes,3,No,2,Don't know,Yes,Yes,Don't know,3,1
2023-02-22 02:18:20,Norma Mooney,21-30,Male,Once or twice a year,Study,4,2,2,2,2,3,Don't know,Yes,Yes,5,Yes,3,Don't know,Don't know,No,Don't know,2,1
2023-02-22 02:31:06,Susan Harris,<20,Male,Everday,Study,1,1,1,2,1,1,Yes,Yes,Yes,5,Yes,2,Don't know,Yes,Yes,No,1,1
2023-02-22 21:39:58,Linda Petersen,<20,Male,Everday,Work,1,2,1,2,2,4,No,Yes,Yes,5,Yes,2,No,Yes,Yes,No,1,1
